sheet,row_number,pid,office_code_string,office_code,code_family,office_id,include_decision,reason
LRAE Annex 25,773,N65236-25-RFPREQ-LSUBP00035-0025,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,774,N65236-25-RFPREQ-LSUBP00035-0102,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,775,N65236-25-RFPREQ-LSUBP00021-0029,LSUBP00021 - LSUBP00021 - EXPEDITIONARY INTEL SOLUTIONS DIV HEAD - NIWCLANT,LSUBP00021,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,776,N65236-27-RFPREQ-LSUBP00024-0005,LSUBP00024 - LSUBP00024 - IA AND NAVY CYBER SECURITY DIV HEAD - NIWCLANT,LSUBP00024,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,777,N65236-25-RFPREQ-LSUBP00087-0007,LSUBP00087 - LSUBP00087 - Command Information Officer Division - NIWCLANT,LSUBP00087,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,778,N65236-25-RFPREQ-LSUBP00034-0017,LSUBP00034 - LSUBP00034 - SURFACE SHIP INTEGRATION DIV HEAD - NIWCLANT,LSUBP00034,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,779,N65236-25-RFPREQ-LSUBP00035-0028,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,780,N65236-25-RFPREQ-LSUBP00035-0029,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,781,N65236-25-RFPREQ-LSUBP00035-0030,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,782,N65236-25-RFPREQ-LSUBP00035-0031,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,783,N65236-25-RFPREQ-LSUBP00035-0032,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,784,N65236-25-RFPREQ-LSUBP00035-0033,LSUBP00035 - LSUBP00035 - SUBMARINE INTEGRATION DIV HEAD - NIWCLANT,LSUBP00035,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,785,N65236-25-RFPREQ-LSUBP00087-0004,LSUBP00087 - LSUBP00087 - Command Information Officer Division - NIWCLANT,LSUBP00087,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,786,N65236-25-RFPREQ-LSUBP00022-0069,LSUBP00022 - LSUBP00022 - BATTLE SPACE AWARENESS DIV HEAD - NIWCLANT,LSUBP00022,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,787,N65236-25-RFPREQ-LSUBP00022-0072,LSUBP00022 - LSUBP00022 - BATTLE SPACE AWARENESS DIV HEAD - NIWCLANT,LSUBP00022,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,788,N65236-25-RFPREQ-LSUBP00022-0073,LSUBP00022 - LSUBP00022 - BATTLE SPACE AWARENESS DIV HEAD - NIWCLANT,LSUBP00022,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,789,N65236-26-RFPREQ-LSUBP00024-0008,LSUBP00024 - LSUBP00024 - IA AND NAVY CYBER SECURITY DIV HEAD - NIWCLANT,LSUBP00024,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
LRAE Annex 25,790,N65236-25-RFPREQ-LSUBP00022-0078,LSUBP00022 - LSUBP00022 - BATTLE SPACE AWARENESS DIV HEAD - NIWCLANT,LSUBP00022,niwc_atlantic_division,center:niwc-atlantic,excluded,"technical_center_division code of center:niwc-atlantic, outside the PEO C4I portfolio (division itself not in alias table)"
