id,record_key,pid,title,office_id,office_code_string,contracting_office_uic,follow_on_or_new,predecessor_refs,valid_from,evidence_id
need:lrae_navwar_2024-06:k:a3395814f3a6,k:a3395814f3a6,,CANES MAC- RFP N0003924R9110 (C),pmw:160,PMW-160 - PMW-160 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row192
need:lrae_navwar_2024-06:k:82775737d399,k:82775737d399,,C2P TR Call 5 (C),pmw:150,PMW-150 - PMW-150 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row193
need:lrae_navwar_2024-06:k:bf8fe1471f57,k:bf8fe1471f57,,NSC2I. AS(X) Phase 1-3 (C),pmw:760,PMW-760 - PMW-760 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row196
need:lrae_navwar_2024-06:k:0484c0c6b056,k:0484c0c6b056,,"PMW/A 170 Cybersecurity, Engineering, and Technical Support (C)",pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row198
need:lrae_navwar_2024-06:k:43212499131e,k:43212499131e,,PMW/A 170 Program Management Support Services (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row199
need:lrae_navwar_2024-06:k:53baaa66a242,k:53baaa66a242,,MPO Lot 13 HW Procurement (C),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row200
need:lrae_navwar_2024-06:k:d46182320d99,k:d46182320d99,,PMW/A 170 Integrated Logistics Support Services (C),pmw:170,PMW/A-170 - PMW/A-170 - NAVWAR,N00039,New,,2024-06-20,ev:lrae_navwar_2024-06:row201
need:lrae_navwar_2024-06:k:9d82e601367e,k:9d82e601367e,,MPO Lot 13 HW Purchase (C),pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row202
need:lrae_navwar_2024-06:k:e8575fea6c22,k:e8575fea6c22,,LBS-G Production N0003921D6001_TO20_T&M Follow on_FY25,pmw:120,PMW-120 - PMW-120 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row315
need:lrae_navwar_2024-06:k:a7540e662c3e,k:a7540e662c3e,,LBS-G Production N0003921D6001_Ceiling Increase Mod_FY26,pmw:120,PMW-120 - PMW-120 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row316
need:lrae_navwar_2024-06:k:b63eaeed55a9,k:b63eaeed55a9,,EVTT Upgrade - Order to Contract #N0003922D4001,pmw:101,PMA/PMW-101 - PMA/PMW-101 - NAVWAR,N00039,,,2024-06-20,ev:lrae_navwar_2024-06:row317
